Event Code,Date/Time         (Local),DecLat,DecLong,Port     Obs,Stbd     Obs,Ship Heading Tru,Best,Effort (ON/OFF),Transect (ON/OFF),Comments
B,7/8/2015 9:12,32.63302,-117.26551,KW,AD,330,,Off,Off,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
C,7/8/2015 9:12,32.63302,-117.26551,KW,AD,330,,Off,Off,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
ST,7/8/2015 9:12,32.63302,-117.26551,KW,AD,330,,Off,Off,"Visual Observers = Katherine Whitaker & Amanda Debich.  Begin cruise.  Leaving Port San Diego.  Heading on inshore, non-standard transect.  Observations off, working on observation platform set-up.  Transiting toward station 93/26.7.  Note that ship is transiting at ~ 11 knots, which is much faster than most other cruises."
C,7/8/2015 11:00,32.95582,-117.30589,KW,AD,0,,Off,Off,On SCOOS 93/26.7 from Port San Diego.  Starting observations after this station.  
ET,7/8/2015 11:00,32.95582,-117.30589,KW,AD,0,,Off,Off,On SCOOS 93/26.7 from Port San Diego.  Starting observations after this station.  
SB,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
SE,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
ST,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
W,7/8/2015 12:08,32.95592,-117.30588,KW,AD,250,60,On,On,From 93/26.7 going to 93.4/26.4.  No array.  
ET,7/8/2015 12:51,32.93902,-117.30991,KW,AD,220,,Off,Off,On SCOOS 93.4/26.4.
ST,7/8/2015 14:01,32.95447,-117.29092,KW,AD,220,,On,Off,"Leaving SCOOS 93.4/26.4, going to SCOOS 91.7/26.4.  Non-standard coastal transect.  No array."
W,7/8/2015 14:01,32.95447,-117.29092,KW,AD,220,,On,Off,"Leaving SCOOS 93.4/26.4, going to SCOOS 91.7/26.4.  Non-standard coastal transect.  No array."
SB,7/8/2015 14:07,32.96942,-117.29983,KW,AD,270,1,On,Off,
SE,7/8/2015 14:07,32.96942,-117.29983,KW,AD,270,1,On,Off,
W,7/8/2015 14:07,32.96942,-117.29983,KW,AD,270,1,On,Off,
SB,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,30,On,Off,
SE,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,30,On,Off,
W,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,30,On,Off,
SB,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,1,On,Off,likely fin or humpback.  Dark color.
SE,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,1,On,Off,likely fin or humpback.  Dark color.
W,7/8/2015 14:33,33.04385,-117.33847,KW,AD,330,1,On,Off,likely fin or humpback.  Dark color.
SB,7/8/2015 14:37,33.055,-117.34562,KW,AD,330,1,On,Off,
SE,7/8/2015 14:37,33.055,-117.34562,KW,AD,330,1,On,Off,
W,7/8/2015 14:37,33.055,-117.34562,KW,AD,330,1,On,Off,
SB,7/8/2015 14:49,33.08725,-117.36612,KW,AD,330,1,On,Off,
SE,7/8/2015 14:49,33.08725,-117.36612,KW,AD,330,1,On,Off,
W,7/8/2015 14:49,33.08725,-117.36612,KW,AD,330,1,On,Off,
W,7/8/2015 15:16,33.16227,-117.4139,KW,AD,330,,On,Off,
ET,7/8/2015 15:50,33.24619,-117.46282,KW,AD,,,Off,Off,On SCOOS 91.7/26.4.  No sonobuoys.
OO,7/8/2015 16:44,33.21146,-117.46107,KW,KW,170,,Off,Off,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
ST,7/8/2015 16:44,33.21146,-117.46107,KW,KW,170,,Off,Off,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
W,7/8/2015 16:44,33.21146,-117.46107,KW,KW,170,,Off,Off,One observer deploying array.  Leaving 91.7/26.4.  Going to southern line & station 93/26.7.
SB,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
SE,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
W,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
SB,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
SE,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
W,7/8/2015 17:00,33.16067,-117.45086,KW,KW,170,1,Off,Off,
OB,7/8/2015 17:10,33.12791,-117.44214,KW,AD,170,,On,Off,"Two observers on.  Off transect, heading south to line 93."
W,7/8/2015 17:10,33.12791,-117.44214,KW,AD,170,,On,Off,"Two observers on.  Off transect, heading south to line 93."
SB,7/8/2015 17:14,33.11509,-117.43833,KW,AD,170,1,On,Off,likely a blue whale
SE,7/8/2015 17:14,33.11509,-117.43833,KW,AD,170,1,On,Off,likely a blue whale
W,7/8/2015 17:14,33.11509,-117.43833,KW,AD,170,1,On,Off,likely a blue whale
SB,7/8/2015 17:14,33.11509,-117.43833,KW,AD,162,350,On,Off,
SE,7/8/2015 17:14,33.11509,-117.43833,KW,AD,162,350,On,Off,
W,7/8/2015 17:14,33.11509,-117.43833,KW,AD,162,350,On,Off,
OO,7/8/2015 17:58,32.97002,-117.40446,KW,KW,170,,Off,Off,AD pulling in array.
W,7/8/2015 17:58,32.97002,-117.40446,KW,KW,170,,Off,Off,AD pulling in array.
SB,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,3,Off,Off,
SE,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,3,Off,Off,
W,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,3,Off,Off,
PINN1,7/8/2015 18:15,32.91741,-117.3949,KW,KW,170,1,Off,Off,"accumulative ZaCa count, nearshore.  "
E,7/8/2015 18:15,32.91741,-117.3949,,,,,Off,On,On station 93/26.7.  No sonobuoys.
ET,7/8/2015 18:15,32.91741,-117.3949,,,,,Off,On,On station 93/26.7.  No sonobuoys.
B,7/9/2015 7:50,32.50088,-118.23949,AD,KW,240,,On,On,"Leaving station 93/40, going to station 93/45.  Array deployed."
ST,7/9/2015 7:50,32.50088,-118.23949,AD,KW,240,,On,On,"Leaving station 93/40, going to station 93/45.  Array deployed."
W,7/9/2015 7:50,32.50088,-118.23949,AD,KW,240,,On,On,"Leaving station 93/40, going to station 93/45.  Array deployed."
SB,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
SE,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
ST,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
W,7/9/2015 11:54,32.32957,-118.56587,AD,KW,240,750,On,On,"Leaving station 93/45, going to station 93/50.  Array deployed.  "
T,7/9/2015 12:05,32.31433,-118.59503,AD,KW,240,1,On,On,"Unid turtle species, 1 foot diamter in shell size."
SB,7/9/2015 12:05,32.31433,-118.59503,AD,KW,240,120,On,On,
SE,7/9/2015 12:05,32.31433,-118.59503,AD,KW,240,120,On,On,
ET,7/9/2015 12:36,32.26885,-118.69217,AD,KW,,,Off,Off,All science stopped.  Returning to port San Diego due to crew emergency on land.
C,7/9/2015 12:39,32.26703,-118.68325,AD,KW,75,,On,Off,Array still deployed while transiting to port San Diego.  Opportunistic observations continuing.
ST,7/9/2015 12:39,32.26703,-118.68325,AD,KW,75,,On,Off,Array still deployed while transiting to port San Diego.  Opportunistic observations continuing.
T,7/9/2015 12:44,32.272,-118.66462,AD,KW,75,1,On,Off,"Loggerhead turtle, 1.4 feet diameter size shell."
E,7/9/2015 12:45,32.27252,-118.66266,AD,KW,,,Off,Off,Break from opportunistic observations.  Array still in water.
ET,7/9/2015 12:45,32.27252,-118.66266,AD,KW,,,Off,Off,Break from opportunistic observations.  Array still in water.
T,7/9/2015 12:59,32.28664,-118.61099,AD,KW,70,3,On,Off,"Loggerhead turtles, average length 1.3 feet diameter size shell."
T,7/9/2015 13:04,32.29114,-118.5943,AD,KW,72,1,On,Off,"Unid turtle species, 1 foot diameter size shell."
SB,7/9/2015 13:04,32.29114,-118.5943,AD,KW,70,320,On,Off,
SE,7/9/2015 13:04,32.29114,-118.5943,AD,KW,70,320,On,Off,
W,7/9/2015 13:04,32.29114,-118.5943,AD,KW,70,320,On,Off,
SB,7/9/2015 18:09,32.57201,-117.44407,AD,KW,240,1,On,On,
SE,7/9/2015 18:09,32.57201,-117.44407,AD,KW,240,1,On,On,
W,7/9/2015 18:09,32.57201,-117.44407,AD,KW,240,1,On,On,
SB,7/9/2015 19:05,32.62061,-117.24172,AD,KW,240,70,On,On,
SE,7/9/2015 19:05,32.62061,-117.24172,AD,KW,240,70,On,On,
W,7/9/2015 19:05,32.62061,-117.24172,AD,KW,240,70,On,On,
OO,7/9/2015 19:18,32.64217,-117.22922,KW,KW,240,,Off,On,AD bringing in array.  2 sonobuoys deployed.
T,7/9/2015 19:35,32.69207,-117.23151,KW,KW,240,1,Off,On,"Loggerhead turtle, 1 foot diameter in shell size.  "
ET,7/9/2015 19:35,32.69207,-117.23151,,,,,Off,On,On station 93/45.  2 sonobuoys deployed.
B,7/10/2015 16:44,32.62122,-117.29171,KW,AD,,,Off,Off,Leaving port San Diego with new engineer.  Heading to station 93/50.  No observations.  No array.
C,7/10/2015 16:44,32.62122,-117.29171,KW,AD,,,Off,Off,Leaving port San Diego with new engineer.  Heading to station 93/50.  No observations.  No array.
ST,7/10/2015 16:44,32.62122,-117.29171,KW,AD,,,Off,Off,Leaving port San Diego with new engineer.  Heading to station 93/50.  No observations.  No array.
E,7/10/2015 19:00,32.62895,-117.47016,KW,AD,110,230,Off,Off,Opportunistic sighting while circling 9-mile bank while fishing & killing time before we get to station 93/50 at 4:00am.  Marine mammal science done for the night.
ET,7/10/2015 19:00,32.62895,-117.47016,KW,AD,110,230,Off,Off,Opportunistic sighting while circling 9-mile bank while fishing & killing time before we get to station 93/50 at 4:00am.  Marine mammal science done for the night.
SB,7/10/2015 19:00,32.62895,-117.47016,KW,AD,110,230,Off,Off,Opportunistic sighting while circling 9-mile bank while fishing & killing time before we get to station 93/50 at 4:00am.  Marine mammal science done for the night.
SE,7/10/2015 19:00,32.62895,-117.47016,KW,AD,110,230,Off,Off,Opportunistic sighting while circling 9-mile bank while fishing & killing time before we get to station 93/50 at 4:00am.  Marine mammal science done for the night.
W,7/10/2015 19:00,32.62895,-117.47016,KW,AD,110,230,Off,Off,Opportunistic sighting while circling 9-mile bank while fishing & killing time before we get to station 93/50 at 4:00am.  Marine mammal science done for the night.
B,7/11/2015 6:07,32.17453,-118.92742,KW,KW,240,,Off,On,"Begin marine mammal science after leaving San Diego for crew change.  Array deployed.  Leaving station 93/50, going to station 93/55.  AD troubleshooting acoustics."
OO,7/11/2015 6:07,32.17453,-118.92742,KW,KW,240,,Off,On,"Begin marine mammal science after leaving San Diego for crew change.  Array deployed.  Leaving station 93/50, going to station 93/55.  AD troubleshooting acoustics."
ST,7/11/2015 6:07,32.17453,-118.92742,KW,KW,240,,Off,On,"Begin marine mammal science after leaving San Diego for crew change.  Array deployed.  Leaving station 93/50, going to station 93/55.  AD troubleshooting acoustics."
W,7/11/2015 6:07,32.17453,-118.92742,KW,KW,240,,Off,On,"Begin marine mammal science after leaving San Diego for crew change.  Array deployed.  Leaving station 93/50, going to station 93/55.  AD troubleshooting acoustics."
T,7/11/2015 6:13,32.16618,-118.94397,KW,KW,240,1,Off,On,"Loggerhead turtle, 1.5 feet diameter size shell."
SB,7/11/2015 6:17,32.15905,-118.95797,KW,KW,240,5,Off,On,AD troubleshooting acoustics.
SE,7/11/2015 6:17,32.15905,-118.95797,KW,KW,240,5,Off,On,AD troubleshooting acoustics.
W,7/11/2015 6:17,32.15905,-118.95797,KW,KW,240,5,Off,On,AD troubleshooting acoustics.
ET,7/11/2015 7:35,32.01418,-119.21276,KW,KW,,,Off,On,On station 93/55.  Array retrieved.  2 sonobuoys deployed.  KW on effort due to AD acoustic troubleshooting.
ST,7/11/2015 9:50,32.01322,-119.23652,KW,AD,240,,On,On,"Leaving station 93/55, going to 93/60.  Array deployed."
W,7/11/2015 9:50,32.01322,-119.23652,KW,AD,240,,On,On,"Leaving station 93/55, going to 93/60.  Array deployed."
SB,7/11/2015 10:08,31.98206,-119.29566,KW,AD,240,272,On,On,
SE,7/11/2015 10:08,31.98206,-119.29566,KW,AD,240,272,On,On,
W,7/11/2015 10:08,31.98206,-119.29566,KW,AD,240,272,On,On,
SB,7/11/2015 10:21,31.95874,-119.33937,KW,AD,240,1,On,On,
SE,7/11/2015 10:21,31.95874,-119.33937,KW,AD,240,1,On,On,
W,7/11/2015 10:21,31.95874,-119.33937,KW,AD,240,1,On,On,
SB,7/11/2015 10:31,31.94161,-119.37179,KW,AD,240,1,On,On,
SE,7/11/2015 10:31,31.94161,-119.37179,KW,AD,240,1,On,On,
W,7/11/2015 10:31,31.94161,-119.37179,KW,AD,240,1,On,On,
PINN,7/11/2015 10:37,31.93066,-119.39185,KW,AD,240,2,On,On,Very large & sleeping.
T,7/11/2015 10:44,31.91966,-119.4143,KW,AD,240,1,On,On,"Loggerhead turtle, 10 inches diameter size shell."
SB,7/11/2015 10:45,31.91788,-119.418,KW,AD,240,1,On,On,
SE,7/11/2015 10:45,31.91788,-119.418,KW,AD,240,1,On,On,
W,7/11/2015 10:45,31.91788,-119.418,KW,AD,240,1,On,On,
OO,7/11/2015 11:06,31.88373,-119.49133,KW,KW,240,,Off,On,AD down for array retrieval.
SB,7/11/2015 11:20,31.86015,-119.53931,KW,KW,240,11,Off,On,perhaps Baird's beaked whales based on stationary rapid breathing & body size & larger group size
SE,7/11/2015 11:20,31.86015,-119.53931,KW,KW,240,11,Off,On,perhaps Baird's beaked whales based on stationary rapid breathing & body size & larger group size
W,7/11/2015 11:20,31.86015,-119.53931,KW,KW,240,11,Off,On,perhaps Baird's beaked whales based on stationary rapid breathing & body size & larger group size
PINN,7/11/2015 11:30,31.84625,-119.57139,KW,KW,240,1,On,On,
PINN,7/11/2015 11:30,31.84625,-119.57139,KW,KW,240,36,On,On,Accumulative ZaCa count.
ET,7/11/2015 11:30,31.84625,-119.57139,KW,KW,,,Off,On,On station 93/60.  Two sonobuoysbuoys deployed.
T,7/11/2015 12:30,31.84637,-119.57119,AH,,,1,Off,On,"2-foot diameter shell size, sighted by Amy Hayes while on station 93/60."
ST,7/11/2015 13:41,31.843,-119.57609,KW,AD,240,,On,On,"Leaving station 93/60, going to station 93/70.  Array deployed."
W,7/11/2015 13:41,31.843,-119.57609,KW,AD,240,,On,On,"Leaving station 93/60, going to station 93/70.  Array deployed."
PINN,7/11/2015 14:17,31.7844,-119.69219,KW,AD,240,1,On,On,likely a male fur seal
PINN,7/11/2015 14:40,31.75073,-119.76531,KW,AD,240,2,On,On,mom with dead pup
PINN,7/11/2015 14:45,31.7425,-119.7816,KW,AD,240,1,On,On,
SB,7/11/2015 14:51,31.73366,-119.79927,KW,AD,240,23,On,On,
SE,7/11/2015 14:51,31.73366,-119.79927,KW,AD,240,23,On,On,
W,7/11/2015 14:51,31.73366,-119.79927,KW,AD,240,23,On,On,
W,7/11/2015 15:30,31.672,-119.92583,KW,AD,240,,On,On,
PINN,7/11/2015 15:51,31.63767,-119.9955,KW,AD,240,1,On,On,
W,7/11/2015 15:51,31.63767,-119.9955,KW,AD,240,1,On,On,
OO,7/11/2015 16:48,31.54917,-120.17383,KW,KW,240,,Off,On,AD down for array retrieval.
E,7/11/2015 17:08,31.515,-120.241,KW,KW,,,Off,On,On station 93/70.  Two sonobuoys deployed.
ET,7/11/2015 17:08,31.515,-120.241,KW,KW,,,Off,On,On station 93/70.  Two sonobuoys deployed.
B,7/12/2015 6:09,30.861,-121.59483,AD,KW,240,,On,On,"Begin day.  Leaving station 93/90, going to station 93/100.  Array deployed.  Ship speed greater than 12 knots."
C,7/12/2015 6:09,30.861,-121.59483,AD,KW,240,,On,On,"Begin day.  Leaving station 93/90, going to station 93/100.  Array deployed.  Ship speed greater than 12 knots."
ST,7/12/2015 6:09,30.861,-121.59483,AD,KW,240,,On,On,"Begin day.  Leaving station 93/90, going to station 93/100.  Array deployed.  Ship speed greater than 12 knots."
W,7/12/2015 6:09,30.861,-121.59483,AD,KW,240,,On,On,"Begin day.  Leaving station 93/90, going to station 93/100.  Array deployed.  Ship speed greater than 12 knots."
W,7/12/2015 7:19,30.746,-121.81183,AD,KW,240,,On,On,
SH,7/12/2015 7:53,30.683,-121.91417,AD,KW,240,,On,On,"One large cargo ship called ""EverDainty"""
W,7/12/2015 7:53,30.683,-121.91417,AD,KW,240,,On,On,"One large cargo ship called ""EverDainty"""
OO,7/12/2015 9:18,30.534,-122.2045,AD,KW,240,,Off,On,AD retrieving array.  One observer on.
W,7/12/2015 9:18,30.534,-122.2045,AD,KW,240,,Off,On,AD retrieving array.  One observer on.
ET,7/12/2015 9:36,30.51233,-122.25033,KW,KW,,,Off,On,On station 93/100.  2 sonobuoys deployed.
ST,7/12/2015 11:51,30.52967,-122.27383,AD,KW,240,,On,On,"Leaving station 93/100, going to 93/110.  Array deployed."
W,7/12/2015 11:51,30.52967,-122.27383,AD,KW,240,,On,On,"Leaving station 93/100, going to 93/110.  Array deployed."
SH,7/12/2015 12:28,30.44733,-122.38283,AD,KW,240,,On,On,"Large ""NYK Line"" cargo ship."
W,7/12/2015 12:28,30.44733,-122.38283,AD,KW,240,,On,On,"Large ""NYK Line"" cargo ship."
W,7/12/2015 14:32,30.24183,-122.79767,AD,KW,240,,On,On,
OO,7/12/2015 14:52,30.20967,-122.86283,KW,KW,240,,Off,On,AD retrieving array.  One observer on.
W,7/12/2015 14:52,30.20967,-122.86283,KW,KW,240,,Off,On,AD retrieving array.  One observer on.
ET,7/12/2015 15:10,30.18033,-122.9205,KW,KW,,,Off,On,On station 93/110.  Two sonobuoys deployed.
ST,7/12/2015 17:15,30.19167,-122.92983,AD,KW,240,,On,On,"Leaving station 93/110, going to station 93/120.  Array deployed."
W,7/12/2015 17:15,30.19167,-122.92983,AD,KW,240,,On,On,"Leaving station 93/110, going to station 93/120.  Array deployed."
SB,7/12/2015 19:34,29.95317,-123.37733,AD,KW,240,13,On,On,Most likely striped dolphins or Dsp.
SE,7/12/2015 19:34,29.95317,-123.37733,AD,KW,240,13,On,On,Most likely striped dolphins or Dsp.
W,7/12/2015 19:34,29.95317,-123.37733,AD,KW,240,13,On,On,Most likely striped dolphins or Dsp.
E,7/12/2015 20:02,29.9075,-123.46417,AD,KW,,,Off,On,End day in transit to station 93/120.  Array retrieval will happen long after observations ending.
ET,7/12/2015 20:02,29.9075,-123.46417,AD,KW,,,Off,On,End day in transit to station 93/120.  Array retrieval will happen long after observations ending.
B,7/13/2015 6:19,30.58183,-123.67583,KW,AD,52,17,On,On,"Begin day.  Array deployed.  In transit from station 90/120, going east to station 90/110."
SB,7/13/2015 6:19,30.58183,-123.67583,KW,AD,52,17,On,On,"Begin day.  Array deployed.  In transit from station 90/120, going east to station 90/110."
SE,7/13/2015 6:19,30.58183,-123.67583,KW,AD,52,17,On,On,"Begin day.  Array deployed.  In transit from station 90/120, going east to station 90/110."
ST,7/13/2015 6:19,30.58183,-123.67583,KW,AD,52,17,On,On,"Begin day.  Array deployed.  In transit from station 90/120, going east to station 90/110."
W,7/13/2015 6:19,30.58183,-123.67583,KW,AD,52,17,On,On,"Begin day.  Array deployed.  In transit from station 90/120, going east to station 90/110."
W,7/13/2015 6:50,30.631,-123.575,KW,AD,62,,On,On,
OO,7/13/2015 7:45,30.7295,-123.35083,KW,KW,70,,Off,On,AD down for array retrieval.  One observer on.  Two sonobuoys deployed.
W,7/13/2015 7:45,30.7295,-123.35083,KW,KW,70,,Off,On,AD down for array retrieval.  One observer on.  Two sonobuoys deployed.
ET,7/13/2015 8:00,30.73483,-123.33717,KW,KW,,,Off,On,On station 90/110.  Two sonobuoys deployed.
ST,7/13/2015 10:20,30.75117,-123.3315,KW,AD,65,,On,On,"Leaving station 90/110, going to station 90/110.  Array deployed."
W,7/13/2015 10:20,30.75117,-123.3315,KW,AD,65,,On,On,"Leaving station 90/110, going to station 90/110.  Array deployed."
W,7/13/2015 12:11,30.92767,-122.9755,KW,AD,62,,On,On,
OO,7/13/2015 13:29,31.053,-122.71517,KW,KW,60,,Off,On,AD down for array retrieval.  Two sonobuoys deployed.
W,7/13/2015 13:29,31.053,-122.71517,KW,KW,60,,Off,On,AD down for array retrieval.  Two sonobuoys deployed.
ET,7/13/2015 13:48,31.083,-122.65333,KW,KW,,,Off,On,On station 90/100.  Two sonobouys deployed.
ST,7/13/2015 16:34,31.14083,-122.6585,KW,AD,63,,On,On,"Leaving station 90/100, going to station 90/90.  Array deployed."
W,7/13/2015 16:34,31.14083,-122.6585,KW,AD,63,,On,On,"Leaving station 90/100, going to station 90/90.  Array deployed."
W,7/13/2015 18:24,31.27383,-122.3175,KW,AD,65,,On,On,
E,7/13/2015 19:54,31.4015,-122.024,KW,KW,,,Off,On,AD down for array retrieval.  End of day.  On station 90/90.  Two sonobuoys deploye.
ET,7/13/2015 19:54,31.4015,-122.024,KW,KW,,,Off,On,AD down for array retrieval.  End of day.  On station 90/90.  Two sonobuoys deploye.
B,7/14/2015 6:12,31.90167,-121.01117,AD,KW,60,,On,On,"Begin day.  Array deployed, mid-transit to station 90/70."
ST,7/14/2015 6:12,31.90167,-121.01117,AD,KW,60,,On,On,"Begin day.  Array deployed, mid-transit to station 90/70."
W,7/14/2015 6:12,31.90167,-121.01117,AD,KW,60,,On,On,"Begin day.  Array deployed, mid-transit to station 90/70."
SB,7/14/2015 7:28,32.01183,-120.783,AD,KW,62,3,On,On,
SE,7/14/2015 7:28,32.01183,-120.783,AD,KW,62,3,On,On,
W,7/14/2015 7:28,32.01183,-120.783,AD,KW,62,3,On,On,AD down for array retrieval.  One observer on.  Two sonobuoys deployed.
OO,7/14/2015 7:57,32.05633,-120.6865,KW,KW,60,,Off,On,
W,7/14/2015 7:57,32.05633,-120.6865,KW,KW,60,,Off,On,
ET,7/14/2015 8:17,32.07883,-120.62867,KW,KW,,,Off,On,On station 90/70.
ST,7/14/2015 10:49,32.085,-120.63867,AD,KW,62,,On,On,"Leaving station 90/70, going to station 90/60.  Array deployed."
PINN,7/14/2015 12:02,32.18767,-120.4275,AD,KW,62,1,On,On,
W,7/14/2015 12:02,32.18767,-120.4275,AD,KW,62,1,On,On,
